# t x y z velocityx velocityy velocityz
1.584730000000000018e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.104743954585287485e-02 2.035466040160846535e-01 -3.026684175178586018e-03 1.673514238131778020e-01
1.584769999999999982e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.821595181146892672e-02 2.220809184570219363e-01 -1.924252030886589937e-03 1.445175078194807228e-01
1.584809999999999945e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.419319794639122084e-02 2.116260705770794392e-01 -3.060814578574600799e-03 1.328033373824046293e-01
1.584839999999999918e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.904080872216986575e-02 3.098275528999370199e-01 -9.455021654776172603e-04 8.241002060636634652e-02
1.584880000000000109e+03 0.000000000000000000e+00 0.000000000000000000e+00 6.209280503019203729e-02 3.378176808192703828e-01 1.053016522677563275e-04 4.069726619663318473e-02
1.584920000000000073e+03 0.000000000000000000e+00 0.000000000000000000e+00 6.323722327899371221e-02 3.488728479745243360e-01 1.539806491974993197e-03 2.345199854881088296e-03
1.584950000000000045e+03 0.000000000000000000e+00 0.000000000000000000e+00 6.232414145419436918e-02 3.511560775599628648e-01 3.609945725910965273e-03 -3.809051025438643656e-02
1.584990000000000009e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.988632472036948401e-02 3.400518359712433880e-01 5.698551841729104436e-03 -8.054130612564180947e-02
1.585019999999999982e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.598653394091034075e-02 2.954238550950423203e-01 8.282919210546194760e-03 -1.666080025383673835e-01
1.585059999999999945e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.084213641503053382e-02 2.505708942972381115e-01 7.939913219207637984e-03 -1.804830363897623191e-01
1.585089999999999918e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.300112209972794391e-02 2.398823141432025186e-01 4.852317813837280641e-03 -2.222662384220895904e-01
1.585130000000000109e+03 0.000000000000000000e+00 0.000000000000000000e+00 3.219411036193409181e-02 1.856332119407387293e-01 1.503572282256384176e-03 -2.333373176874755373e-01
1.585170000000000073e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.127648038979392670e-02 1.438881219395912459e-01 3.359800087428021012e-04 -2.830786106770789012e-01
1.585200000000000045e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.311006482555614368e-02 9.793145437262393282e-02 -3.236133313038651402e-04 -2.670336815388340002e-01
1.585240000000000009e+03 0.000000000000000000e+00 0.000000000000000000e+00 4.408420038580608893e-03 3.989229102369915014e-02 -2.906006085871665288e-03 -3.282339722549323380e-01
1.585269999999999982e+03 0.000000000000000000e+00 0.000000000000000000e+00 -8.959525061484152272e-03 1.585297092567822252e-02 -2.755846306957608367e-03 -2.712930977605784721e-01
1.585309999999999945e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.948730207861866862e-02 -4.567164966617129340e-02 -1.706836652644988604e-03 -2.960110186253507303e-01
