ZONE T = " 0.00000E+00", I=  129, J=  256
 4.76010913E-02 -8.51456140E-02  4.52008631E-18  1.93311174E-16 -1.56535598E+01 -1.56535598E+01
 4.82715292E-02 -8.51456140E-02  2.02144405E-18  3.86622347E-17 -1.56535598E+01 -1.56535598E+01
 4.89419671E-02 -8.51456140E-02  6.39236736E-18  2.89966761E-17 -1.56535598E+01 -1.56535598E+01
 4.96124050E-02 -8.51456140E-02  6.39236736E-18  1.29677078E-16 -1.56535598E+01 -1.56535598E+01
 5.02828429E-02 -8.51456140E-02  8.08577620E-18  7.73244695E-17 -1.56535598E+01 -1.56535598E+01
 5.09532808E-02 -8.51456140E-02  5.05361013E-18  4.32256925E-17 -1.56535598E+01 -1.56535598E+01
 5.16237187E-02 -8.51456140E-02  6.06433215E-18  1.35404094E-16 -1.56535598E+01 -1.56535598E+01
 5.22941566E-02 -8.51456140E-02  2.26004316E-18  9.66555868E-17 -1.56535598E+01 -1.56535598E+01
 5.29645945E-02 -8.51456140E-02  2.02144405E-18  8.55005946E-17 -1.56535598E+01 -1.56535598E+01
 5.36350324E-02 -8.51456140E-02  4.90616798E-18  2.41638967E-17 -1.56535598E+01 -1.56535598E+01
 5.43054703E-02 -8.51456140E-02  6.67095679E-18  9.51947131E-17 -1.56535598E+01 -1.56535598E+01
 5.49759082E-02 -8.51456140E-02  2.02144405E-18  1.31465811E-16 -1.56535598E+01 -1.56535598E+01
 5.56463462E-02 -8.51456140E-02  4.04288810E-18  9.66555868E-18 -1.56535598E+01 -1.56535598E+01
 5.63167841E-02 -8.51456140E-02  3.64421009E-18  9.85697447E-17 -1.56535598E+01 -1.56535598E+01
 5.69872220E-02 -8.51456140E-02  6.25097050E-18  1.93311174E-17 -1.56535598E+01 -1.56535598E+01
 5.76576599E-02 -8.51456140E-02  6.39236736E-18  1.44983380E-17 -1.56535598E+01 -1.56535598E+01
 5.83280978E-02 -8.51456140E-02  1.41703985E-17  5.81943695E-17 -1.56535598E+01 -1.56535598E+01
 5.89985357E-02 -8.51456140E-02  4.52008631E-18  1.93311174E-17 -1.56535598E+01 -1.56535598E+01
 5.96689736E-02 -8.51456140E-02  1.76876354E-18  1.14797585E-16 -1.56535598E+01 -1.56535598E+01
 6.03394115E-02 -8.51456140E-02  7.35816741E-18  8.25825696E-17 -1.56535598E+01 -1.56535598E+01
 6.10098494E-02 -8.51456140E-02  1.13002158E-18  1.23779546E-16 -1.56535598E+01 -1.56535598E+01
 6.16802873E-02 -8.51456140E-02  9.11052522E-18  1.07658228E-16 -1.56535598E+01 -1.56535598E+01
 6.23507252E-02 -8.51456140E-02  4.04288810E-18  5.46766567E-17 -1.56535598E+01 -1.56535598E+01
 6.30211631E-02 -8.51456140E-02  8.59113722E-18  1.04549002E-16 -1.56535598E+01 -1.56535598E+01
 6.36916010E-02 -8.51456140E-02  3.19618368E-18  4.83277934E-18 -1.56535598E+01 -1.56535598E+01
 6.43620389E-02 -8.51456140E-02  6.08535243E-18  5.46766567E-17 -1.56535598E+01 -1.56535598E+01
 6.50324768E-02 -8.51456140E-02  5.44290468E-18  9.85697447E-17 -1.56535598E+01 -1.56535598E+01
 6.57029147E-02 -8.51456140E-02  3.64421009E-18  1.30036793E-16 -1.56535598E+01 -1.56535598E+01
 6.63733526E-02 -8.51456140E-02  3.64421009E-18  2.89966761E-17 -1.56535598E+01 -1.56535598E+01
 6.70437905E-02 -8.51456140E-02  4.31780639E-18  1.64314498E-16 -1.56535598E+01 -1.56535598E+01
 6.77142285E-02 -8.51456140E-02  5.09293843E-18  4.10786244E-17 -1.56535598E+01 -1.56535598E+01
 6.83846664E-02 -8.51456140E-02  6.02737027E-18  7.76635309E-17 -1.56535598E+01 -1.56535598E+01
 6.90551043E-02 -8.51456140E-02  2.26004316E-18  3.24192694E-17 -1.56535598E+01 -1.56535598E+01
 6.97255422E-02 -8.51456140E-02  5.54171614E-18  6.37945179E-17 -1.56535598E+01 -1.56535598E+01
 7.03959801E-02 -8.51456140E-02  2.94944291E-18  3.48496674E-17 -1.56535598E+01 -1.56535598E+01
 7.10664180E-02 -8.51456140E-02  3.19618368E-18  9.66555868E-18 -1.56535598E+01 -1.56535598E+01
 7.17368559E-02 -8.51456140E-02  1.04182842E-18  1.05908460E-16 -1.56535598E+01 -1.56535598E+01
 7.24072938E-02 -8.51456140E-02  6.19453876E-18  5.04556976E-17 -1.56535598E+01 -1.56535598E+01
 7.30777317E-02 -8.51456140E-02  8.99769703E-18  1.99260597E-17 -1.56535598E+01 -1.56535598E+01
 7.37481696E-02 -8.51456140E-02  3.04267622E-18  1.44983380E-17 -1.56535598E+01 -1.56535598E+01
 7.44186075E-02 -8.51456140E-02  3.44841781E-18  2.49075746E-17 -1.56535598E+01 -1.56535598E+01
 7.50890454E-02 -8.51456140E-02  5.27612387E-18  2.73383284E-17 -1.56535598E+01 -1.56535598E+01
 7.57594833E-02 -8.51456140E-02  5.11014699E-18  2.93966491E-17 -1.56535598E+01 -1.56535598E+01
 7.64299212E-02 -8.51456140E-02  3.94699569E-18  6.96993349E-17 -1.56535598E+01 -1.56535598E+01
 7.71003591E-02 -8.51456140E-02  3.39006473E-18  5.20506265E-17 -1.56535598E+01 -1.56535598E+01
 7.77707970E-02 -8.51456140E-02  2.52680506E-18  5.29955628E-17 -1.56535598E+01 -1.56535598E+01
 7.84412349E-02 -8.51456140E-02  2.52680506E-18  1.54724433E-17 -1.56535598E+01 -1.56535598E+01
 7.91116728E-02 -8.51456140E-02  5.11014699E-18  3.77452133E-17 -1.56535598E+01 -1.56535598E+01
 7.97821107E-02 -8.51456140E-02  3.07399103E-18  9.33364722E-17 -1.56535598E+01 -1.56535598E+01
